title,price,rating,reviews,availability,scraped_date
"Lenovo V50t Gen 2 Business Desktop Computer, Intel 4-Core Processor(Up to 4.3Ghz), 32GB RAM, 1TB PCIe SSD, 4K 3-Monitor Support, DisplayPort, HDMI, VGA, DVD-RW, Wi-Fi, Bluetooth, Windows 11 Pro",$529.99,4.0 out of 5 stars,18 ratings,In Stock,2024-03-19
"GearIT 20-Pack, Cat5e Ethernet Patch Cable 10 Feet - Snagless RJ45 Computer LAN Network Cord, Black",$60.98,4.7 out of 5 stars,423 ratings,In Stock,2024-03-19
"HP 2022 Newest All-in-One Desktop, 21.5"" FHD Display, Intel Celeron J4025 Processor, 16GB RAM, 512GB PCIe SSD, Webcam, HDMI, RJ-45, Wired Keyboard&Mouse, WiFi, Windows 11 Home, White",$442.00,4.4 out of 5 stars,555 ratings,In Stock,2024-03-19
Dell Optiplex 7050 SFF Desktop PC Intel i7-7700 4-Cores 3.60GHz 32GB DDR4 1TB SSD WiFi BT HDMI Duel Monitor Support Windows 10 Pro Excellent Condition(Renewed),$278.00,4.0 out of 5 stars,"1,470 ratings",,2024-03-19
"HP Elite Desktop PC Computer Intel Core i5 3.1-GHz, 8 gb Ram, 1 TB Hard Drive, DVDRW, 19 Inch LCD Monitor, Keyboard, Mouse, Wireless WiFi, Windows 10 (Renewed)",$160.47,3.9 out of 5 stars,"7,946 ratings",In Stock,2024-03-19
"Dell Optiplex 9020 Small Form Factor Desktop with Intel Core i7-4770 Upto 3.9GHz, HD Graphics 4600 4K Support, 32GB RAM, 1TB SSD, DisplayPort, HDMI, Wi-Fi, Bluetooth - Windows 10 Pro (Renewed)",$239.98,4.1 out of 5 stars,"3,100 ratings",In Stock,2024-03-19
"Laptop Screen Extender, 14.1"" FHD 1080P IPS Laptop Monitor Extender Dual Screen, Swivel Attachable Portable Monitor for Laptop with USB-C/HDMI Port, Plug n Play for Windows/Mac/Android",$199.99,4.4 out of 5 stars,48 ratings,In Stock,2024-03-19
"SGIN 15.6 Inch Laptop, 4GB RAM 128GB SSD, Laptops Computer with Intel Celeron J4105 Quad-Core CPU, Intel UHD Graphics 600, 2*USB 3.2, 2.4G/5G WiFi, Bluetooth 4.2, Mini HDMI, 38000 mWH Battery",$316.69,5.0 out of 5 stars,1 rating,In Stock,2024-03-19
"HP Newest All-in-One Desktop, 21.5"" FHD Display, 12GB RAM, 1TB Storage (512GB SSD with P500 500GB External SSD), Intel Dual-Core Processor, Webcam, HDMI, Bluetooth, Mouse and Keyboard, Windows 11",$619.99,5.0 out of 5 stars,1 rating,In Stock,2024-03-19
"HP Elite Desktop Computer PC, 3.1 GHz, Intel Core i5, 16GB, RAM, 1TB HDD, New 22 inch LED Monitor, RGB Speaker and Keyboard Mouse, WiFi, Windows 10 Pro (Renewed)",$196.97,3.5 out of 5 stars,401 ratings,In Stock,2024-03-19
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$296.89,4.2 out of 5 stars,"1,442 ratings",In Stock,2024-03-19
Polycom SoundStation2 Expandable Conference Phone (2200-16200-001),$299.00,4.2 out of 5 stars,345 ratings,In Stock,2024-03-19
"Dell OptiPlex Computer Desktop PC, Intel Core i5 3rd Gen 3.2 GHz, 16GB RAM, 2TB HDD, New 22 Inch LED Monitor, RGB Keyboard and Mouse, WiFi, Windows 10 Pro (Renewed)",$217.00,3.7 out of 5 stars,"2,433 ratings",In Stock,2024-03-19
"Lenovo IdeaPad 1 14 Laptop, Intel Celeron N4020, 4GB RAM, 128GB Storage(64GB eMMC+64GB Micro SD), Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",$158.00,3.6 out of 5 stars,483 ratings,Only 1 left in stock - order soon.,2024-03-19
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, 2021, Snowflake White)",$189.00,3.8 out of 5 stars,"1,075 ratings",Only 7 left in stock - order soon.,2024-03-19
"HP Elite Desktop PC Computer | Intel Quad-Core i5 | 8GB Ram | 1TB HDD | 24 Inch LCD Monitor (1080p HDMI), RGB Keyboard + Mouse | Desk Speakers | WiFi + Bluetooth | Windows 10 (Renewed)",$187.98,3.6 out of 5 stars,673 ratings,In Stock,2024-03-19
"Bluetooth Headset for PC, Wireless Computer Headphone with AI-Powered Environmental Noise Cancelling Microphone & 2.4G USB Dongle, 55H Playtime, Over Ear Comfort Office Headset for Work, Laptop, Zoom",$89.99,4.0 out of 5 stars,174 ratings,In Stock,2024-03-19
"STGAubron Gaming Desktop PC Computer,Intel Core I7 3.4 GHz up to 3.9 GHz,Radeon RX 580 8G GDDR5,16G RAM,512G SSD,WiFi,Bluetooth 5.0,RGB Fanx6,RGB Keyboard&Mouse&Mouse Pad,RGB BT Sound Bar,W10H64",$399.99,3.8 out of 5 stars,544 ratings,In Stock,2024-03-19
"HP 2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",$183.99,4.2 out of 5 stars,135 ratings,Only 18 left in stock - order soon.,2024-03-19
"Dell OptiPlex Desktop Computer with 24 inch Monitor PC and Monitor Bundle, i7-6700 3.4GHz,16GB Ram New 512GB SSD,Intel AC7260 Built-in WiFi Bluetooth,HDMI,Refurbished Desktop,Windows 10 Pro (Renewed)",$314.99,3.9 out of 5 stars,155 ratings,In Stock,2024-03-19
Dell Optiplex 7060 SFF Desktop Computer PC | Intel 8th Gen i7-8700 (6 Core) | 32GB DDR4 Ram 512GB NVMe M.2 SSD | Built-in WiFi & Bluetooth | Windows 11 Pro | Wireless Keyboard & Mouse(Renewed),$372.98,4.0 out of 5 stars,190 ratings,In Stock,2024-03-19
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 16GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$299.98,4.2 out of 5 stars,"1,442 ratings",In Stock,2024-03-19
